site,event_index,onset_sample,peak_sample,onset_s_from_start,peak_s_from_start,peak_envelope,robust_z_peak
L1,452,1022169,1022173,7985.6953125,7985.7265625,0.08438884008911227,6.569734989062339
L1,453,1028558,1028562,8035.609375,8035.640625,0.10042745346014363,8.178238789890907
L1,454,1030083,1030087,8047.5234375,8047.5546875,0.12377040078585441,10.519290265311085
L1,455,1030207,1030213,8048.4921875,8048.5390625,0.08264954637511499,6.395302169653216
L1,456,1030604,1030608,8051.59375,8051.625,0.07904507698779889,6.033811897686188
L1,457,1030855,1030860,8053.5546875,8053.59375,0.14557076677901631,12.705637098933886
L1,458,1032609,1032612,8067.2578125,8067.28125,0.12184787943506173,10.326481645988077
L1,459,1034372,1034377,8081.03125,8081.0703125,0.09169298110462379,7.302263313889874
L1,460,1040049,1040054,8125.3828125,8125.421875,0.08126561906173695,6.256508853040217
L1,461,1040232,1040239,8126.8125,8126.8671875,0.08109183805743551,6.239080450754797
L1,462,1043021,1043024,8148.6015625,8148.625,0.08096639829638633,6.22650016542994
L1,463,1043378,1043385,8151.390625,8151.4453125,0.10432593887409967,8.569215769057266
L1,464,1044371,1044375,8159.1484375,8159.1796875,0.08392787514964571,6.523505066311046
L1,465,1045278,1045283,8166.234375,8166.2734375,0.1392633223021046,12.073066927191212
L1,466,1047352,1047357,8182.4375,8182.4765625,0.14133122495967293,12.280455758600413
L1,467,1048081,1048087,8188.1328125,8188.1796875,0.07956708028888844,6.086163324484975
L1,468,1048571,1048576,8191.9609375,8192.0,0.3432369848821405,32.529474469348536
L1,469,1050911,1050915,8210.2421875,8210.2734375,0.07879126755688656,6.008357488077063
L1,470,1050975,1050980,8210.7421875,8210.78125,0.08357379003130168,6.487994062616554
L1,471,1060904,1060907,8288.3125,8288.3359375,0.08242000580219092,6.372281670595635
L1,472,1063291,1063299,8306.9609375,8307.0234375,0.08538816134575415,6.669956373690299
L1,473,1063397,1063401,8307.7890625,8307.8203125,0.11785132057681613,9.925668934501802
L1,474,1064797,1064803,8318.7265625,8318.7734375,0.08547343654704953,6.678508577189871
L1,475,1065272,1065277,8322.4375,8322.4765625,0.08829219355098748,6.96120018210352
L1,476,1065353,1065357,8323.0703125,8323.1015625,0.08910234045986297,7.042449374412713
L1,477,1066914,1066918,8335.265625,8335.296875,0.08056817017591786,6.1865620840913556
