site,event_index,onset_sample,peak_sample,onset_s_from_start,peak_s_from_start,peak_envelope,robust_z_peak
H1,2493,1395160,1395163,10899.6875,10899.7109375,0.0073191338393155374,6.703255069070294
H1,2494,1397109,1397113,10914.9140625,10914.9453125,0.00760177239776624,7.031690619295107
H1,2495,1397191,1397195,10915.5546875,10915.5859375,0.007676365694642926,7.11837054944006
H1,2496,1397980,1397985,10921.71875,10921.7578125,0.008942647420134972,8.589832679488197
H1,2497,1399183,1399186,10931.1171875,10931.140625,0.0076986514092738595,7.144267302477174
H1,2498,1400148,1400153,10938.65625,10938.6953125,0.00874199786470423,8.356671119715545
H1,2499,1401314,1401323,10947.765625,10947.8359375,0.010072639057471943,9.902921124294066
H1,2500,1402166,1402171,10954.421875,10954.4609375,0.015105606219025139,15.751398940021582
H1,2501,1403720,1403723,10966.5625,10966.5859375,0.007855677828546358,7.326737304787884
H1,2502,1403803,1403807,10967.2109375,10967.2421875,0.014239802532873387,14.745305816681796
H1,2503,1403920,1403924,10968.125,10968.15625,0.009130314581295968,8.807908258676347
H1,2504,1404728,1404738,10974.4375,10974.515625,0.012767306106703902,13.034215240137556
H1,2505,1405361,1405365,10979.3828125,10979.4140625,0.01146441030386077,11.520206315672212
H1,2506,1406357,1406360,10987.1640625,10987.1875,0.008011781212415319,7.508134708786814
H1,2507,1407839,1407845,10998.7421875,10998.7890625,0.007099460978169467,6.447987785598945
H1,2508,1408922,1408926,11007.203125,11007.234375,0.00878823250347183,8.410397331405557
H1,2509,1410431,1410435,11018.9921875,11019.0234375,0.008726933832035209,8.339166205009729
H1,2510,1410509,1410513,11019.6015625,11019.6328125,0.008219961463555735,7.750047191301715
H1,2511,1410585,1410588,11020.1953125,11020.21875,0.009677921833584062,9.444246379696406
H1,2512,1410841,1410846,11022.1953125,11022.234375,0.014183467773931403,14.679842924246618
H1,2513,1411372,1411377,11026.34375,11026.3828125,0.01412709357120452,14.614334196801282
H1,2514,1411841,1411845,11030.0078125,11030.0390625,0.007406939158396972,6.805287815215248
H1,2515,1411963,1411966,11030.9609375,11030.984375,0.007659657032633794,7.098954519898404
H1,2516,1412621,1412626,11036.1015625,11036.140625,0.011162552396743759,11.169437233218877
H1,2517,1413141,1413146,11040.1640625,11040.203125,0.0195526846984872,20.919054320452624
H1,2518,1414609,1414612,11051.6328125,11051.65625,0.008239003764505908,7.772174988104809
H1,2519,1415550,1415553,11058.984375,11059.0078125,0.008336995772707387,7.886045011033406
H1,2520,1417837,1417840,11076.8515625,11076.875,0.006792858908298869,6.09170582580548
H1,2521,1419613,1419616,11090.7265625,11090.75,0.007327126631864622,6.712542963945929
H1,2522,1420506,1420508,11097.703125,11097.71875,0.00745033989284656,6.855720934380754
H1,2523,1420775,1420784,11099.8046875,11099.875,0.007440853703319328,6.8446976617813196
H1,2524,1421963,1421971,11109.0859375,11109.1484375,0.020786540438906483,22.35283636075175
H1,2525,1422084,1422094,11110.03125,11110.109375,0.012230826963106406,12.410808357235865
H1,2526,1422188,1422196,11110.84375,11110.90625,0.007739149279221539,7.191327195055558
H1,2527,1424809,1424813,11131.3203125,11131.3515625,0.00788226968697619,7.357637942346951
H1,2528,1425492,1425504,11136.65625,11136.75,0.03486679403693831,38.71456656176775
H1,2529,1425765,1425768,11138.7890625,11138.8125,0.007127198098919348,6.4802192566518535
H1,2530,1426300,1426308,11142.96875,11143.03125,0.013519314437988327,13.90807431801041
H1,2531,1427665,1427669,11153.6328125,11153.6640625,0.011433590561855032,11.484392734613325
H1,2532,1428006,1428013,11156.296875,11156.3515625,0.008200101557652642,7.726969309931071
H1,2533,1429038,1429041,11164.359375,11164.3828125,0.00720543181436999,6.57112947612442
H1,2534,1429484,1429489,11167.84375,11167.8828125,0.024505341177292896,26.674208410565026
H1,2535,1429634,1429637,11169.015625,11169.0390625,0.006898257625307997,6.21418269450887
H1,2536,1429743,1429747,11169.8671875,11169.8984375,0.009198556874415176,8.887208107968208
H1,2537,1430034,1430040,11172.140625,11172.1875,0.011856849290835421,11.976233672035795
H1,2538,1431082,1431085,11180.328125,11180.3515625,0.010406576780750885,10.290968036531167
H1,2539,1431957,1431960,11187.1640625,11187.1875,0.010231048201193048,10.0869978991116
H1,2540,1433247,1433250,11197.2421875,11197.265625,0.00789647717053302,7.374147518056917
H1,2541,1433316,1433320,11197.78125,11197.8125,0.007086371525719665,6.432777399793635
H1,2542,1433844,1433850,11201.90625,11201.953125,0.010171951276466019,10.018325276749986
H1,2543,1434241,1434245,11205.0078125,11205.0390625,0.00794985016840154,7.436168744099763
H1,2544,1435556,1435559,11215.28125,11215.3046875,0.006806718203849033,6.107810795292651
H1,2545,1436806,1436810,11225.046875,11225.078125,0.012494539373919988,12.717251084730096
H1,2546,1436910,1436914,11225.859375,11225.890625,0.018200052548856167,19.347250081317554
H1,2547,1437309,1437320,11228.9765625,11229.0625,0.010386572594025614,10.26772249597248
H1,2548,1438606,1438615,11239.109375,11239.1796875,0.009871389526763355,9.669062372986115
H1,2549,1438851,1438855,11241.0234375,11241.0546875,0.01338848080534852,13.756041218352987
H1,2550,1439140,1439144,11243.28125,11243.3125,0.014613058692128362,15.179042079390234
H1,2551,1440488,1440491,11253.8125,11253.8359375,0.010582054820300552,10.494879444754396
H1,2552,1440872,1440875,11256.8125,11256.8359375,0.00687439264720642,6.186450783983784
H1,2553,1441853,1441858,11264.4765625,11264.515625,0.006807526005842901,6.108749488490716
H1,2554,1443494,1443509,11277.296875,11277.4140625,0.02912773522935668,32.045586407138934
H1,2555,1444125,1444129,11282.2265625,11282.2578125,0.009095626075402045,8.767599043323004
H1,2556,1444361,1444366,11284.0703125,11284.109375,0.009840774236051383,9.633486371235339
H1,2557,1445153,1445157,11290.2578125,11290.2890625,0.008289641558155786,7.83101781447193
H1,2558,1445326,1445329,11291.609375,11291.6328125,0.007303682023523598,6.685299537279384
H1,2559,1445814,1445818,11295.421875,11295.453125,0.010280887726605748,10.144913110827906
H1,2560,1446244,1446249,11298.78125,11298.8203125,0.009608326813248611,9.363374615694793
H1,2561,1448888,1448892,11319.4375,11319.46875,0.011105258554514713,11.10285985361385
H1,2562,1450055,1450059,11328.5546875,11328.5859375,0.009810082759284935,9.597821838716296
H1,2563,1450410,1450414,11331.328125,11331.359375,0.009772059724866548,9.553637788603409
